81, 16, 32, 84
74, 21, -93, 29
61, 67, -23, 97
19, 84, 82, 19
48, 62, -64, 30
90, 66, -43, -78
51, 77, 45, -41
90, 39, -35, -33
87, 15, -80, 77
31, 5, 6, -9
83, 30, 59, -3
34, 64, -34, -98
36, 37, 40, -37
73, 71, -44, -16
63, 89, -12, 23
54, 74, 67, -74
18, 29, 29, 47
74, 81, -89, 14
59, 76, 1, 46
52, 79, -94, 69
16, 35, -22, 52
34, 31, 13, -88
2, 88, 36, 95
37, 2, -59, 12
79, 42, -99, 59
7, 90, -81, 44
91, 18, 64, 79
51, 77, 95, 5
79, 75, -84, -52
25, 38, -67, -53
44, 12, -56, -40
34, 46, -12, 73
82, 30, 34, 30
66, 78, -98, 5
61, 87, -52, 32
48, 5, 97, -6
82, 87, -50, -82
82, 94, 8, 40
90, 16, 18, -40
40, 93, -53, -66
93, 84, -58, 66
64, 29, -44, -53
93, 36, -83, 41
27, 2, 84, -79
51, 32, 88, -57
1, 11, 20, 56
11, 57, -27, -7
60, 69, 58, 87
43, 46, -4, 43
4, 80, -20, -47
2, 100, 86, 96
88, 45, -46, -6
76, 42, -98, -55
48, 74, -58, -18
61, 2, -47, 65
4, 93, 19, 23
42, 19, 4, 61
28, 20, -52, -97
89, 10, -32, -86
89, 72, -36, 60
30, 68, -15, 23
81, 59, -91, 16
16, 27, 76, -81
86, 67, -40, -41
86, 72, 26, -61
70, 64, -58, -44
10, 13, 74, -24
34, 59, -65, -46
24, 101, 80, 10
35, 37, -12, 75
87, 58, -42, -30
94, 98, 70, -16
75, 98, 6, -68
65, 41, 2, -53
22, 34, -18, -74
25, 8, -47, -94
15, 93, -73, 56
76, 74, -44, 62
99, 81, 12, -41
94, 7, -30, -70
70, 91, -96, 99
54, 15, 97, -63
67, 72, 51, 7
4, 7, -71, -15
53, 81, 47, -89
55, 90, -11, 7
46, 96, -58, 67
63, 88, 17, -61
10, 33, 33, -65
75, 3, -96, -52
22, 57, -69, 55
12, 66, -71, 32
14, 66, -13, 52
14, 47, -81, 18
27, 0, -77, 23
46, 87, -57, -66
34, 73, -56, 78
33, 96, 40, -13
71, 19, -39, 1
54, 37, 48, -5
15, 20, 86, 77
57, 71, 98, 37
21, 88, 65, 34
0, 65, 28, -96
65, 61, 54, -53
74, 0, -44, 8
35, 0, -61, 88
26, 61, 26, -62
17, 81, 87, -29
33, 28, -21, 84
87, 0, -37, 3
1, 24, 73, -81
67, 94, -46, 90
78, 18, 58, -56
17, 57, 60, 89
72, 87, 56, -91
48, 33, -33, 81
24, 99, 41, -47
14, 67, -83, 22
64, 45, -47, 18
76, 63, 8, 93
43, 35, -45, 67
97, 48, -49, -23
16, 46, -45, -63
45, 100, -6, -22
54, 53, 98, 18
66, 66, 54, 7
83, 51, 65, 50
32, 1, -64, -20
5, 23, 12, -54
71, 22, -32, 81
32, 29, -72, 79
34, 5, -56, 24
42, 84, 99, 97
49, 66, 2, -66
100, 20, -30, -49
50, 34, -53, -67
89, 93, 68, -91
60, 14, 97, 40
40, 55, 93, 48
29, 71, 38, -22
59, 46, -39, -24
88, 50, -39, 89
50, 46, -36, 19
67, 26, -96, -3
99, 6, 72, -31
21, 94, 11, 68
32, 94, -16, 74
83, 66, -90, 80
91, 61, 23, -2
98, 11, 65, 98
78, 36, -40, -90
14, 28, -72, 6
7, 75, -24, -25
17, 25, -23, 84
56, 30, -60, 20
